TOP Code - TOP Title,TOP CTE Flag,CIP Code - CIP Title,CIP CTE Flag,"Count of Colleges "
0514.20 - Medical Office Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0514.20 - Medical Office Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0514.20 - Medical Office Technology,CTE,51.0710 - Medical Office Assistant/Specialist,CTE,3
0514.20 - Medical Office Technology,CTE,51.0712 - Medical Reception/Receptionist,CTE,0
0514.20 - Medical Office Technology,CTE,51.0713 - Medical Insurance Coding Specialist/Coder,CTE,1
0514.20 - Medical Office Technology,CTE,51.0716 - Medical Administrative/Executive Assistant and Medical Secretary,CTE,16
0514.30 - Court Reporting,CTE,22.0303 - Court Reporting and Captioning/Court Reporter,CTE,4
0514.30 - Court Reporting,CTE,22.0305 - Scopist,CTE,2
0514.30 - Court Reporting,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0514.30 - Court Reporting,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0514.40 - Office Management,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0514.40 - Office Management,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0514.40 - Office Management,CTE,52.0204 - Office Management and Supervision,CTE,9
0514.40 - Office Management,CTE,"52.0401 - Administrative Assistant and Secretarial Science, General",CTE,2
0516.00 - Labor and Industrial Relations,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0516.00 - Labor and Industrial Relations,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
